id_offre,titre,entreprise,ville,domaine,description,competences,duree_mois,remunere
OFF-001,Stagiaire Paie,Emploi Direct Tunisie,Ariana,Ressources Humaines,Il contribue à l'organisation de sessions de formation interne et au suivi des indicateurs RH. L'étudiant assiste aux entretiens de recrutement et rédige des comptes rendus d'évaluation des compétences.,Gestion-des-Talents SIRH Entretiens Droit-du-Travail Onboarding Fiches-de-Poste,5,
OFF-002,Ingénieur Structures Junior,Bâtir Plus Tunisie,Monastir,Génie Civil & BTP,Le stage porte sur le suivi budgétaire des travaux et la gestion des approvisionnements en matériaux. L'étudiant assiste le conducteur de travaux dans la coordination des équipes sur le chantier. Il utilise AutoCAD et Revit pour la conception des plans techniques et des structures du bâtiment. Le stagiaire assure le suivi de chantier et vérifie la conformité des plans de structures en béton armé.,Génie-Civil Suivi-de-Travaux Plans Ouvrages Sécurité,5,Oui
OFF-003,Stage Vision par Ordinateur,Carthage Analytics,Tunis,Data & IA,Il développe des modèles de deep learning avec TensorFlow et PyTorch pour des tâches de vision par ordinateur. Le stagiaire nettoie et prépare des jeux de données avec Pandas puis entraîne des modèles de classification supervisée. Il travaille sur des techniques de TF-IDF et de traitement du langage naturel pour l'analyse de textes. La mission consiste à construire des pipelines de features et à évaluer les modèles via precision recall et F1-score.,Power-BI Naive-Bayes Pandas Spark Python SQL,6,
OFF-004,Stage Essais Cliniques,BioSanté Tunis,Sousse,Santé & Biologie,Le stage porte sur le suivi des patients dans le cadre d'essais cliniques encadrés par un médecin référent. Il contribue au contrôle qualité des échantillons et à la validation des méthodes d'analyse. Il participe au suivi des essais cliniques et à la collecte des données de pharmacovigilance. Le stagiaire réalise des analyses en laboratoire et applique les protocoles de contrôle qualité pharmaceutique.,Laboratoire Pharmacovigilance Santé Protocoles,6,Oui
OFF-005,Stagiaire MLOps,NeuralTech Sfax,Sfax,Data & IA,L'étudiant conçoit des tableaux de bord Power BI à partir de données extraites en SQL. La mission consiste à construire des pipelines de features et à évaluer les modèles via precision recall et F1-score. Il implémente des algorithmes de Naive Bayes et de régression logistique pour prédire des variables métier. Le stagiaire nettoie et prépare des jeux de données avec Pandas puis entraîne des modèles de classification supervisée.,Machine-Learning TensorFlow Spark Power-BI NLP,5,Non
OFF-006,Stagiaire Ingénieur Machine Learning,DataVision Tunisie,Ariana,Data & IA,L'étudiant conçoit des tableaux de bord Power BI à partir de données extraites en SQL. Le stagiaire nettoie et prépare des jeux de données avec Pandas puis entraîne des modèles de classification supervisée.,Pandas Deep-Learning TF-IDF Power-BI,6,Oui
OFF-007,Stage Coordinateur Entrepôt,TransMed Sfax,Sousse,Logistique & Supply Chain,Il contribue à l'organisation de l'entrepôt et à l'optimisation des flux de marchandises. Il participe au suivi des délais de livraison et à la résolution des incidents de transport. La mission inclut le suivi des opérations d'import export et la gestion des documents douaniers.,Import-Export Supply-Chain Approvisionnement Logistique,5,Oui
OFF-008,Développeur Java Junior,Carthage Software,Sfax,Informatique & Web,L'étudiant participe à la maintenance des serveurs Linux et à l'administration réseau de l'infrastructure. La mission inclut la mise en place de pipelines CI/CD et la conteneurisation des services avec Docker et Kubernetes.,Symfony Spring-Boot SQL Linux Git,5,Oui
OFF-009,Stagiaire Reporting Financier,Carthage Finance,Ariana,Finance & Comptabilité,Il contribue à l'analyse de portefeuille d'investissement et à l'évaluation des risques financiers. L'étudiant participe au calcul de la fiscalité et à la déclaration des impôts de la société. Il prépare des rapports de reporting financier mensuel destinés à la direction générale. Il utilise Excel avancé pour construire des modèles financiers et des tableaux de bord de trésorerie.,Analyse-Financière Bilan Ratios-Financiers SAP,4,Non
OFF-010,Assistant Gestion de Portefeuille,Portefeuille Plus,Sousse,Finance & Comptabilité,Il utilise Excel avancé pour construire des modèles financiers et des tableaux de bord de trésorerie. Il prépare des rapports de reporting financier mensuel destinés à la direction générale. Le stagiaire participe à l'établissement du bilan et à l'analyse des ratios financiers de l'entreprise. L'étudiant participe au calcul de la fiscalité et à la déclaration des impôts de la société.,Trésorerie Audit Contrôle-de-Gestion Bilan,2,Oui
OFF-011,ASSISTANT ARCHITECTE TECHNIQUE,BTP Confort,Monastir,Génie Civil & BTP,Il participe à l'élaboration des métrés et à l'estimation des quantités de matériaux nécessaires aux ouvrages. Il utilise AutoCAD et Revit pour la conception des plans techniques et des structures du bâtiment.,Génie-Civil Sécurité Topographie Revit AutoCAD,3,Non
OFF-012,Stage Coordinateur Entrepôt,LogiTrans Sousse,Monastir,Logistique & Supply Chain,Il participe à la planification des transports et à la coordination des livraisons entre entrepôts. Le stagiaire optimise la gestion des stocks et suit les niveaux d'approvisionnement sur SAP. Il participe au suivi des délais de livraison et à la résolution des incidents de transport. La mission inclut le suivi des opérations d'import export et la gestion des documents douaniers.,Optimisation-des-Flux Gestion-de-Stocks Import-Export Planification,4,Non
OFF-013,Responsable Flux Junior,Achats Express Tunisie,Sfax,Logistique & Supply Chain,Il participe à la planification des transports et à la coordination des livraisons entre entrepôts. Il assiste le service achats dans la négociation avec les fournisseurs et le suivi des commandes. Le stagiaire optimise la gestion des stocks et suit les niveaux d'approvisionnement sur SAP.,Logistique Approvisionnement Supply-Chain Entrepôt Import-Export,4,Oui
OFF-014,Stagiaire Brand Manager,Visibility Plus,Tunis,Marketing & Digital,Il assiste le chef de produit dans le lancement de nouvelles offres et l'étude de la concurrence. La mission inclut la création de contenus visuels sur Canva et la rédaction de textes publicitaires percutants.,Analytics SEO Emailing Marketing-Automation,4,Oui
OFF-015,Stagiaire Relations Sociales,HR Partners Tunis,Sousse,Ressources Humaines,L'étudiant assiste aux entretiens de recrutement et rédige des comptes rendus d'évaluation des compétences. Il participe à la gestion des talents et au suivi des plans de formation des collaborateurs.,Onboarding Droit-du-Travail Paie Évaluation-des-Compétences Gestion-des-Talents Formation,6,Oui
OFF-016,Data Scientist Junior,InsightCube,Tunis,Data & IA,Il réalise des analyses statistiques exploratoires et documente les résultats dans des rapports techniques. Il travaille sur des techniques de TF-IDF et de traitement du langage naturel pour l'analyse de textes. L'étudiant conçoit des tableaux de bord Power BI à partir de données extraites en SQL.,PyTorch Python TensorFlow Spark NLP,,Oui
OFF-017,Stage Audit Financier,Trésor Conseil Tunisie,Tunis,Finance & Comptabilité,Il prépare des rapports de reporting financier mensuel destinés à la direction générale. L'étudiant participe au calcul de la fiscalité et à la déclaration des impôts de la société. Il assiste l'équipe d'audit dans la vérification des comptes et le contrôle des procédures internes. Il contribue à l'analyse de portefeuille d'investissement et à l'évaluation des risques financiers.,SAP Contrôle-de-Gestion Comptabilité Bilan Reporting,3,Oui
OFF-018,Assistant SIRH,GRH Solutions,Sfax,Ressources Humaines,La mission inclut le traitement de la paie mensuelle et la mise à jour du logiciel SIRH. L'étudiant assiste aux entretiens de recrutement et rédige des comptes rendus d'évaluation des compétences.,Fiches-de-Poste Gestion-des-Talents Onboarding Paie Recrutement,2,Non
OFF-019,Assistant Conducteur de Travaux,Bâtir Plus Tunisie,Tunis,Génie Civil & BTP,Il contribue à la rédaction des rapports de chantier et au suivi de l'avancement des ouvrages. Il participe à l'élaboration des métrés et à l'estimation des quantités de matériaux nécessaires aux ouvrages. Il participe aux relevés topographiques et à la vérification des fondations avant coulage du béton.,AutoCAD Suivi-de-Travaux Chantier Revit Sécurité,4,Non
OFF-020,STAGE FORMATION ET DÉVELOPPEMENT,HR Partners Tunis,Ariana,Ressources Humaines,Il participe à la gestion des relations sociales et au suivi des dossiers du personnel. La mission inclut le traitement de la paie mensuelle et la mise à jour du logiciel SIRH.,Entretiens Fiches-de-Poste SIRH Formation Onboarding,6,Oui
OFF-021,assistant recherche clinique,Clinilab Sfax,Monastir,Santé & Biologie,La mission inclut des manipulations de biologie moléculaire et l'interprétation de diagnostics médicaux. Il assiste l'équipe de recherche clinique dans la rédaction des protocoles expérimentaux.,Microbiologie Santé Essais-Cliniques Laboratoire Diagnostics,3,Oui
OFF-022,Stagiaire Supply Chain,Entrepôt Central Tunis,Sfax,Logistique & Supply Chain,Le stage porte sur la coordination de la chaîne d'approvisionnement de bout en bout. Il contribue à l'organisation de l'entrepôt et à l'optimisation des flux de marchandises. Il assiste le service achats dans la négociation avec les fournisseurs et le suivi des commandes.,Logistique Transport Supply-Chain Gestion-de-Stocks Entrepôt Import-Export,4,Oui
