id_offre,titre,entreprise,ville,domaine,description,competences,duree_mois,remunere
REAL-001,Stagiaire DevOps,Proservices Training Company,Ariana,Informatique & Web,"Nous recherchons un·e stagiaire DevOps en pré-embauche à temps plein pour rejoindre l'équipe de Proservices Training Company à Ariana Ville, en présentiel. Au quotidien, vous participerez à l'intégration et au déploiement continus des applications (CI/CD), à l'automatisation des tâches d'exploitation et à la gestion des environnements de développement, de test et de production. Vous contribuerez à la supervision des systèmes, à la résolution d'incidents techniques et à l'amélioration de la performance et de la fiabilité des services.",CI/CD Docker Kubernetes Ansible Terraform Git,,Non
REAL-002,Stagiaire AI & Data Engineer,Evorya Digital,Tunis,Data & IA,"Evorya Digital recherche un(e) stagiaire AI & Data Engineer passionné(e) par l'intelligence artificielle, la data et les nouvelles technologies pour contribuer au développement de solutions innovantes basées sur l'IA. Vous participerez à la conception, l'amélioration et l'optimisation de systèmes intelligents intégrant des technologies de Machine Learning, NLP, LLM et Data Engineering. Vous travaillerez notamment sur des problématiques liées aux pipelines RAG, aux systèmes de recommandation intelligents et aux assistants conversationnels basés sur l'intelligence artificielle.",Python Pandas Scikit-learn TensorFlow PyTorch NLP LLM SQL,,Non
REAL-003,Stagiaire Marketing,Kapuvada,Sousse,Marketing & Digital,"On lance Locasa, la marketplace qui rapproche les marques locales tunisiennes de leurs clients. On cherche un(e) stagiaire créatif(ve) pour piloter notre présence en ligne et accompagner le lancement. Créer du contenu pour les réseaux sociaux (Instagram, TikTok, Facebook). Construire et gérer le calendrier de lancement. Suivre les performances et ajuster la stratégie. Participer aux idées de campagnes et à l'identité de la marque.",Canva CapCut Réseaux-Sociaux Community-Management,,Non
REAL-004,Stagiaire Finance Service Achats,Vets Réseau d'Expert,La Marsa,Finance & Comptabilité,"Nous recherchons une stagiaire en Finance – Service Achats pour rejoindre notre équipe. Classer les dossiers comptables. Saisir les achats effectués. Assurer le suivi des factures fournisseurs. Mettre à jour les tableaux de bord et les fichiers de suivi. Participer à la recherche et à la comparaison des fournisseurs. Assister le service dans les tâches administratives, financières et liées aux achats.",Excel Comptabilité Achats Fournisseurs,,Non
REAL-005,Stagiaire Administration et Ressources Humaines,EIA Solution Corp,Sousse,Ressources Humaines,"EIA Solution recrute un(e) stagiaire en Administration et Ressources Humaines motivé(e), souhaitant développer ses compétences au sein d'une équipe dynamique et professionnelle. Assister dans la gestion administrative quotidienne. Participer au suivi des dossiers administratifs et du personnel. Contribuer aux activités liées aux Ressources Humaines (classement des dossiers, suivi des congés, préparation des documents administratifs, etc.). Participer aux tâches de recrutement et d'intégration des stagiaires ou collaborateurs.",Word Excel PowerPoint Recrutement,,Non
REAL-008,Stagiaire Création de Contenu & Marketing Digital,Unty,Ariana,Marketing & Digital,"UNTY recherche un(e) stagiaire pour développer la visibilité de sa plateforme SaaS Jornata. Le stagiaire créera des visuels et des vidéos, préparera des templates, planifiera les publications, gérera les réseaux sociaux et utilisera des outils d'intelligence artificielle générative.",Canva Figma Marketing-Digital Community-Management Réseaux-Sociaux IA-Générative Facebook Instagram LinkedIn,1-2,Oui
REAL-010,Stagiaire Ressources Humaines,Securex,Sfax,Ressources Humaines,"Le stagiaire participera au recrutement, au tri des CV, à l'organisation des entretiens, au suivi administratif des dossiers du personnel, aux projets de marque employeur et à l'intégration des nouvelles recrues.",Recrutement Gestion-Administrative Word Excel Outlook Communication Onboarding,1-3,Non précisé
REAL-011,Stagiaire Développeur WordPress,Securex,Sfax,Informatique & Web,"Le stagiaire assurera la maintenance et l'évolution du site web de Securex, créera de nouvelles pages, optimisera le référencement SEO, intégrera des formulaires et apportera un support aux outils digitaux.",WordPress Elementor HTML CSS JavaScript PHP SEO,1-3,Non précisé
REAL-014,Stagiaire Montage Vidéo,Al Manara Software & Marketing,Tunis,Marketing & Digital,"Le stagiaire réalisera et montera des contenus audiovisuels destinés aux différents supports de communication.",Montage-Vidéo Adobe-Premiere CapCut After-Effects Storytelling,2-6,Non précisé
REAL-015,Stagiaire Photographie,Al Manara Software & Marketing,Tunis,Marketing & Digital,"Le stagiaire participera à la réalisation de prises de vue et à la production de contenus visuels.",Photographie Retouche-Photo Adobe-Photoshop Lightroom Créativité,2-6,Non précisé
REAL-017,Stagiaire Marketing Digital & Community Management,Al Manara Software & Marketing,Tunis,Marketing & Digital,"Le stagiaire participera à la gestion des réseaux sociaux, à la création de contenus et aux actions de marketing digital.",Marketing-Digital Community-Management Facebook Instagram LinkedIn Canva,2-6,Non précisé
REAL-018,Stagiaire Account Manager Junior / Assistante Account Manager,Meta Digital Studio,Monastir,Marketing & Digital,"Le stagiaire gérera les réseaux sociaux des clients, créera et planifiera des contenus, participera aux campagnes marketing, assurera le suivi des projets et réalisera des benchmarks concurrentiels.",Community-Management Marketing-Digital Création-de-Contenu Réseaux-Sociaux Instagram Facebook TikTok Rédaction Benchmarking Gestion-de-Projet Communication,,Non précisé
